nan;X;Y;X;Y;Puestos equivalentes;nan;100.0
Calle 1428;27;28;28;28;26;nan;nan
Calle 1429;28;28;29;28;26;nan;nan
Calle 1430;29;28;30;28;26;nan;nan
Calle 1431;30;28;31;28;26;nan;nan
Calle 1432;31;28;32;28;26;nan;nan
Calle 1433;32;28;33;28;26;nan;nan
Calle 1434;33;28;34;28;26;nan;nan
Calle 1435;34;28;35;28;26;nan;nan
Calle 1436;35;28;36;28;26;nan;nan
Calle 1437;36;28;37;28;26;nan;nan
Calle 1438;37;28;38;28;26;nan;nan
Calle 1439;38;28;39;28;26;nan;nan
Calle 1440;39;28;40;28;26;nan;nan
Calle 1441;40;28;41;28;26;nan;nan
Calle 1442;41;28;42;28;26;nan;nan
Calle 1443;42;28;43;28;26;nan;nan
Calle 1444;43;28;44;28;26;nan;nan
Calle 1445;44;28;45;28;26;nan;nan
Calle 1446;45;28;46;28;26;nan;nan
Calle 1447;46;28;47;28;26;nan;nan
Calle 1448;47;28;48;28;26;nan;nan
Calle 1449;48;28;49;28;26;nan;nan
Calle 1450;49;28;50;28;26;nan;nan
Calle 1451;0;29;1;29;26;nan;nan
Calle 1452;1;29;2;29;26;nan;nan
Calle 1453;2;29;3;29;26;nan;nan
Calle 1454;3;29;4;29;26;nan;nan
Calle 1455;4;29;5;29;26;nan;nan
Calle 1456;5;29;6;29;26;nan;nan
Calle 1457;6;29;7;29;26;nan;nan
Calle 1458;7;29;8;29;26;nan;nan
Calle 1459;8;29;9;29;26;nan;nan
Calle 1460;9;29;10;29;26;nan;nan
Calle 1461;10;29;11;29;26;nan;nan
Calle 1462;11;29;12;29;26;nan;nan
Calle 1463;12;29;13;29;26;nan;nan
Calle 1464;13;29;14;29;26;nan;nan
Calle 1465;14;29;15;29;26;nan;nan
Calle 1466;15;29;16;29;26;nan;nan
Calle 1467;16;29;17;29;26;nan;nan
Calle 1468;17;29;18;29;26;nan;nan
Calle 1469;18;29;19;29;26;nan;nan
Calle 1470;19;29;20;29;26;nan;nan
Calle 1471;20;29;21;29;26;nan;nan
Calle 1472;21;29;22;29;26;nan;nan
Calle 1473;22;29;23;29;26;nan;nan
Calle 1474;23;29;24;29;26;nan;nan
Calle 1475;24;29;25;29;26;nan;nan
Calle 1476;25;29;26;29;26;nan;nan
Calle 1477;26;29;27;29;26;nan;nan
Calle 1478;27;29;28;29;26;nan;nan
Calle 1479;28;29;29;29;26;nan;nan
Calle 1480;29;29;30;29;26;nan;nan
Calle 1481;30;29;31;29;26;nan;nan
Calle 1482;31;29;32;29;26;nan;nan
Calle 1483;32;29;33;29;26;nan;nan
Calle 1484;33;29;34;29;26;nan;nan
Calle 1485;34;29;35;29;26;nan;nan
Calle 1486;35;29;36;29;26;nan;nan
Calle 1487;36;29;37;29;26;nan;nan
Calle 1488;37;29;38;29;26;nan;nan
Calle 1489;38;29;39;29;26;nan;nan
Calle 1490;39;29;40;29;26;nan;nan
Calle 1491;40;29;41;29;26;nan;nan
Calle 1492;41;29;42;29;26;nan;nan
Calle 1493;42;29;43;29;26;nan;nan
Calle 1494;43;29;44;29;26;nan;nan
Calle 1495;44;29;45;29;26;nan;nan
Calle 1496;45;29;46;29;26;nan;nan
Calle 1497;46;29;47;29;26;nan;nan
Calle 1498;47;29;48;29;26;nan;nan
Calle 1499;48;29;49;29;26;nan;nan
Calle 1500;49;29;50;29;26;nan;nan
Calle 1501;0;30;1;30;26;nan;nan
Calle 1502;1;30;2;30;26;nan;nan
Calle 1503;2;30;3;30;26;nan;nan
Calle 1504;3;30;4;30;26;nan;nan
Calle 1505;4;30;5;30;26;nan;nan
Calle 1506;5;30;6;30;26;nan;nan
Calle 1507;6;30;7;30;26;nan;nan
Calle 1508;7;30;8;30;26;nan;nan
Calle 1509;8;30;9;30;26;nan;nan
Calle 1510;9;30;10;30;26;nan;nan
Calle 1511;10;30;11;30;26;nan;nan
Calle 1512;11;30;12;30;26;nan;nan
Calle 1513;12;30;13;30;26;nan;nan
Calle 1514;13;30;14;30;26;nan;nan
Calle 1515;14;30;15;30;26;nan;nan
Calle 1516;15;30;16;30;26;nan;nan
Calle 1517;16;30;17;30;26;nan;nan
Calle 1518;17;30;18;30;26;nan;nan
Calle 1519;18;30;19;30;26;nan;nan
Calle 1520;19;30;20;30;26;nan;nan
Calle 1521;20;30;21;30;26;nan;nan
Calle 1522;21;30;22;30;26;nan;nan
Calle 1523;22;30;23;30;26;nan;nan
Calle 1524;23;30;24;30;26;nan;nan
Calle 1525;24;30;25;30;26;nan;nan
Calle 1526;25;30;26;30;26;nan;nan
Calle 1527;26;30;27;30;26;nan;nan
Calle 1528;27;30;28;30;26;nan;nan
Calle 1529;28;30;29;30;26;nan;nan
Calle 1530;29;30;30;30;26;nan;nan
Calle 1531;30;30;31;30;26;nan;nan
Calle 1532;31;30;32;30;26;nan;nan
Calle 1533;32;30;33;30;26;nan;nan
Calle 1534;33;30;34;30;26;nan;nan
Calle 1535;34;30;35;30;26;nan;nan
Calle 1536;35;30;36;30;26;nan;nan
Calle 1537;36;30;37;30;26;nan;nan
Calle 1538;37;30;38;30;26;nan;nan
Calle 1539;38;30;39;30;26;nan;nan
Calle 1540;39;30;40;30;26;nan;nan
Calle 1541;40;30;41;30;26;nan;nan
Calle 1542;41;30;42;30;26;nan;nan
Calle 1543;42;30;43;30;26;nan;nan
Calle 1544;43;30;44;30;26;nan;nan
Calle 1545;44;30;45;30;26;nan;nan
Calle 1546;45;30;46;30;26;nan;nan
Calle 1547;46;30;47;30;26;nan;nan
Calle 1548;47;30;48;30;26;nan;nan
Calle 1549;48;30;49;30;26;nan;nan
Calle 1550;49;30;50;30;26;nan;nan
Calle 1551;0;31;1;31;26;nan;nan
Calle 1552;1;31;2;31;26;nan;nan
Calle 1553;2;31;3;31;26;nan;nan
Calle 1554;3;31;4;31;26;nan;nan
Calle 1555;4;31;5;31;26;nan;nan
Calle 1556;5;31;6;31;26;nan;nan
Calle 1557;6;31;7;31;26;nan;nan
Calle 1558;7;31;8;31;26;nan;nan
Calle 1559;8;31;9;31;26;nan;nan
Calle 1560;9;31;10;31;26;nan;nan
Calle 1561;10;31;11;31;26;nan;nan
Calle 1562;11;31;12;31;26;nan;nan
Calle 1563;12;31;13;31;26;nan;nan
Calle 1564;13;31;14;31;26;nan;nan
Calle 1565;14;31;15;31;26;nan;nan
Calle 1566;15;31;16;31;26;nan;nan
Calle 1567;16;31;17;31;26;nan;nan
Calle 1568;17;31;18;31;26;nan;nan
Calle 1569;18;31;19;31;26;nan;nan
Calle 1570;19;31;20;31;26;nan;nan
Calle 1571;20;31;21;31;26;nan;nan
Calle 1572;21;31;22;31;26;nan;nan
Calle 1573;22;31;23;31;26;nan;nan
Calle 1574;23;31;24;31;26;nan;nan
Calle 1575;24;31;25;31;26;nan;nan
Calle 1576;25;31;26;31;26;nan;nan
Calle 1577;26;31;27;31;26;nan;nan
Calle 1578;27;31;28;31;26;nan;nan
Calle 1579;28;31;29;31;26;nan;nan
Calle 1580;29;31;30;31;26;nan;nan
Calle 1581;30;31;31;31;26;nan;nan
Calle 1582;31;31;32;31;26;nan;nan
Calle 1583;32;31;33;31;26;nan;nan
Calle 1584;33;31;34;31;26;nan;nan
Calle 1585;34;31;35;31;26;nan;nan
Calle 1586;35;31;36;31;26;nan;nan
Calle 1587;36;31;37;31;26;nan;nan
Calle 1588;37;31;38;31;26;nan;nan
Calle 1589;38;31;39;31;26;nan;nan
Calle 1590;39;31;40;31;26;nan;nan
Calle 1591;40;31;41;31;26;nan;nan
Calle 1592;41;31;42;31;26;nan;nan
Calle 1593;42;31;43;31;26;nan;nan
Calle 1594;43;31;44;31;26;nan;nan
Calle 1595;44;31;45;31;26;nan;nan
Calle 1596;45;31;46;31;26;nan;nan
Calle 1597;46;31;47;31;26;nan;nan
Calle 1598;47;31;48;31;26;nan;nan
Calle 1599;48;31;49;31;26;nan;nan
Calle 1600;49;31;50;31;26;nan;nan
Calle 1601;0;32;1;32;26;nan;nan
Calle 1602;1;32;2;32;26;nan;nan
Calle 1603;2;32;3;32;26;nan;nan
Calle 1604;3;32;4;32;26;nan;nan
Calle 1605;4;32;5;32;26;nan;nan
Calle 1606;5;32;6;32;26;nan;nan
Calle 1607;6;32;7;32;26;nan;nan
Calle 1608;7;32;8;32;26;nan;nan
Calle 1609;8;32;9;32;26;nan;nan
Calle 1610;9;32;10;32;26;nan;nan
Calle 1611;10;32;11;32;26;nan;nan
Calle 1612;11;32;12;32;26;nan;nan
Calle 1613;12;32;13;32;26;nan;nan
Calle 1614;13;32;14;32;26;nan;nan
Calle 1615;14;32;15;32;26;nan;nan
Calle 1616;15;32;16;32;26;nan;nan
Calle 1617;16;32;17;32;26;nan;nan
Calle 1618;17;32;18;32;26;nan;nan
Calle 1619;18;32;19;32;26;nan;nan
Calle 1620;19;32;20;32;26;nan;nan
Calle 1621;20;32;21;32;26;nan;nan
Calle 1622;21;32;22;32;26;nan;nan
Calle 1623;22;32;23;32;26;nan;nan
Calle 1624;23;32;24;32;26;nan;nan
Calle 1625;24;32;25;32;26;nan;nan
Calle 1626;25;32;26;32;26;nan;nan
Calle 1627;26;32;27;32;26;nan;nan
Calle 1628;27;32;28;32;26;nan;nan
Calle 1629;28;32;29;32;26;nan;nan
Calle 1630;29;32;30;32;26;nan;nan
Calle 1631;30;32;31;32;26;nan;nan
Calle 1632;31;32;32;32;26;nan;nan
Calle 1633;32;32;33;32;26;nan;nan
Calle 1634;33;32;34;32;26;nan;nan
Calle 1635;34;32;35;32;26;nan;nan
Calle 1636;35;32;36;32;26;nan;nan
Calle 1637;36;32;37;32;26;nan;nan
Calle 1638;37;32;38;32;26;nan;nan
Calle 1639;38;32;39;32;26;nan;nan
Calle 1640;39;32;40;32;26;nan;nan
Calle 1641;40;32;41;32;26;nan;nan
Calle 1642;41;32;42;32;26;nan;nan
Calle 1643;42;32;43;32;26;nan;nan
Calle 1644;43;32;44;32;26;nan;nan
Calle 1645;44;32;45;32;26;nan;nan
Calle 1646;45;32;46;32;26;nan;nan
Calle 1647;46;32;47;32;26;nan;nan
Calle 1648;47;32;48;32;26;nan;nan
Calle 1649;48;32;49;32;26;nan;nan
Calle 1650;49;32;50;32;26;nan;nan
Calle 1651;0;33;1;33;26;nan;nan
Calle 1652;1;33;2;33;26;nan;nan
Calle 1653;2;33;3;33;26;nan;nan
Calle 1654;3;33;4;33;26;nan;nan
Calle 1655;4;33;5;33;26;nan;nan
Calle 1656;5;33;6;33;26;nan;nan
Calle 1657;6;33;7;33;26;nan;nan
Calle 1658;7;33;8;33;26;nan;nan
Calle 1659;8;33;9;33;26;nan;nan
Calle 1660;9;33;10;33;26;nan;nan
Calle 1661;10;33;11;33;26;nan;nan
Calle 1662;11;33;12;33;26;nan;nan
Calle 1663;12;33;13;33;26;nan;nan
Calle 1664;13;33;14;33;26;nan;nan
Calle 1665;14;33;15;33;26;nan;nan
Calle 1666;15;33;16;33;26;nan;nan
Calle 1667;16;33;17;33;26;nan;nan
Calle 1668;17;33;18;33;26;nan;nan
Calle 1669;18;33;19;33;26;nan;nan
Calle 1670;19;33;20;33;26;nan;nan
Calle 1671;20;33;21;33;26;nan;nan
Calle 1672;21;33;22;33;26;nan;nan
Calle 1673;22;33;23;33;26;nan;nan
Calle 1674;23;33;24;33;26;nan;nan
Calle 1675;24;33;25;33;26;nan;nan
Calle 1676;25;33;26;33;26;nan;nan
Calle 1677;26;33;27;33;26;nan;nan
Calle 1678;27;33;28;33;26;nan;nan
Calle 1679;28;33;29;33;26;nan;nan
Calle 1680;29;33;30;33;26;nan;nan
Calle 1681;30;33;31;33;26;nan;nan
Calle 1682;31;33;32;33;26;nan;nan
Calle 1683;32;33;33;33;26;nan;nan
Calle 1684;33;33;34;33;26;nan;nan
Calle 1685;34;33;35;33;26;nan;nan
Calle 1686;35;33;36;33;26;nan;nan
Calle 1687;36;33;37;33;26;nan;nan
Calle 1688;37;33;38;33;26;nan;nan
Calle 1689;38;33;39;33;26;nan;nan
Calle 1690;39;33;40;33;26;nan;nan
Calle 1691;40;33;41;33;26;nan;nan
Calle 1692;41;33;42;33;26;nan;nan
Calle 1693;42;33;43;33;26;nan;nan
Calle 1694;43;33;44;33;26;nan;nan
Calle 1695;44;33;45;33;26;nan;nan
Calle 1696;45;33;46;33;26;nan;nan
Calle 1697;46;33;47;33;26;nan;nan
Calle 1698;47;33;48;33;26;nan;nan
Calle 1699;48;33;49;33;26;nan;nan
Calle 1700;49;33;50;33;26;nan;nan
Calle 1701;0;34;1;34;26;nan;nan
Calle 1702;1;34;2;34;26;nan;nan
Calle 1703;2;34;3;34;26;nan;nan
Calle 1704;3;34;4;34;26;nan;nan
Calle 1705;4;34;5;34;26;nan;nan
Calle 1706;5;34;6;34;26;nan;nan
Calle 1707;6;34;7;34;26;nan;nan
Calle 1708;7;34;8;34;26;nan;nan
Calle 1709;8;34;9;34;26;nan;nan
Calle 1710;9;34;10;34;26;nan;nan
Calle 1711;10;34;11;34;26;nan;nan
Calle 1712;11;34;12;34;26;nan;nan
Calle 1713;12;34;13;34;26;nan;nan
Calle 1714;13;34;14;34;26;nan;nan
Calle 1715;14;34;15;34;26;nan;nan
Calle 1716;15;34;16;34;26;nan;nan
Calle 1717;16;34;17;34;26;nan;nan
Calle 1718;17;34;18;34;26;nan;nan
Calle 1719;18;34;19;34;26;nan;nan
Calle 1720;19;34;20;34;26;nan;nan
Calle 1721;20;34;21;34;26;nan;nan
Calle 1722;21;34;22;34;26;nan;nan
Calle 1723;22;34;23;34;26;nan;nan
Calle 1724;23;34;24;34;26;nan;nan
Calle 1725;24;34;25;34;26;nan;nan
Calle 1726;25;34;26;34;26;nan;nan
Calle 1727;26;34;27;34;26;nan;nan
Calle 1728;27;34;28;34;26;nan;nan
Calle 1729;28;34;29;34;26;nan;nan
Calle 1730;29;34;30;34;26;nan;nan
Calle 1731;30;34;31;34;26;nan;nan
Calle 1732;31;34;32;34;26;nan;nan
Calle 1733;32;34;33;34;26;nan;nan
Calle 1734;33;34;34;34;26;nan;nan
Calle 1735;34;34;35;34;26;nan;nan
Calle 1736;35;34;36;34;26;nan;nan
Calle 1737;36;34;37;34;26;nan;nan
Calle 1738;37;34;38;34;26;nan;nan
Calle 1739;38;34;39;34;26;nan;nan
Calle 1740;39;34;40;34;26;nan;nan
Calle 1741;40;34;41;34;26;nan;nan
Calle 1742;41;34;42;34;26;nan;nan
Calle 1743;42;34;43;34;26;nan;nan
Calle 1744;43;34;44;34;26;nan;nan
Calle 1745;44;34;45;34;26;nan;nan
Calle 1746;45;34;46;34;26;nan;nan
Calle 1747;46;34;47;34;26;nan;nan
Calle 1748;47;34;48;34;26;nan;nan
Calle 1749;48;34;49;34;26;nan;nan
Calle 1750;49;34;50;34;26;nan;nan
Calle 1751;0;35;1;35;26;nan;nan
Calle 1752;1;35;2;35;26;nan;nan
Calle 1753;2;35;3;35;26;nan;nan
Calle 1754;3;35;4;35;26;nan;nan
Calle 1755;4;35;5;35;26;nan;nan
Calle 1756;5;35;6;35;26;nan;nan
Calle 1757;6;35;7;35;26;nan;nan
Calle 1758;7;35;8;35;26;nan;nan
Calle 1759;8;35;9;35;26;nan;nan
Calle 1760;9;35;10;35;26;nan;nan
Calle 1761;10;35;11;35;26;nan;nan
Calle 1762;11;35;12;35;26;nan;nan
Calle 1763;12;35;13;35;26;nan;nan
Calle 1764;13;35;14;35;26;nan;nan
Calle 1765;14;35;15;35;26;nan;nan
Calle 1766;15;35;16;35;26;nan;nan
Calle 1767;16;35;17;35;26;nan;nan
Calle 1768;17;35;18;35;26;nan;nan
Calle 1769;18;35;19;35;26;nan;nan
Calle 1770;19;35;20;35;26;nan;nan
Calle 1771;20;35;21;35;26;nan;nan
Calle 1772;21;35;22;35;26;nan;nan
Calle 1773;22;35;23;35;26;nan;nan
Calle 1774;23;35;24;35;26;nan;nan
Calle 1775;24;35;25;35;26;nan;nan
Calle 1776;25;35;26;35;26;nan;nan
Calle 1777;26;35;27;35;26;nan;nan
Calle 1778;27;35;28;35;26;nan;nan
Calle 1779;28;35;29;35;26;nan;nan
Calle 1780;29;35;30;35;26;nan;nan
Calle 1781;30;35;31;35;26;nan;nan
Calle 1782;31;35;32;35;26;nan;nan
Calle 1783;32;35;33;35;26;nan;nan
Calle 1784;33;35;34;35;26;nan;nan
Calle 1785;34;35;35;35;26;nan;nan
Calle 1786;35;35;36;35;26;nan;nan
Calle 1787;36;35;37;35;26;nan;nan
Calle 1788;37;35;38;35;26;nan;nan
Calle 1789;38;35;39;35;26;nan;nan
Calle 1790;39;35;40;35;26;nan;nan
Calle 1791;40;35;41;35;26;nan;nan
Calle 1792;41;35;42;35;26;nan;nan
Calle 1793;42;35;43;35;26;nan;nan
Calle 1794;43;35;44;35;26;nan;nan
Calle 1795;44;35;45;35;26;nan;nan
Calle 1796;45;35;46;35;26;nan;nan
Calle 1797;46;35;47;35;26;nan;nan
Calle 1798;47;35;48;35;26;nan;nan
Calle 1799;48;35;49;35;26;nan;nan
Calle 1800;49;35;50;35;26;nan;nan
Calle 1801;0;36;1;36;26;nan;nan
Calle 1802;1;36;2;36;26;nan;nan
Calle 1803;2;36;3;36;26;nan;nan
Calle 1804;3;36;4;36;26;nan;nan
Calle 1805;4;36;5;36;26;nan;nan
Calle 1806;5;36;6;36;26;nan;nan
Calle 1807;6;36;7;36;26;nan;nan
Calle 1808;7;36;8;36;26;nan;nan
Calle 1809;8;36;9;36;26;nan;nan
Calle 1810;9;36;10;36;26;nan;nan
Calle 1811;10;36;11;36;26;nan;nan
Calle 1812;11;36;12;36;26;nan;nan
Calle 1813;12;36;13;36;26;nan;nan
Calle 1814;13;36;14;36;26;nan;nan
Calle 1815;14;36;15;36;26;nan;nan
Calle 1816;15;36;16;36;26;nan;nan
Calle 1817;16;36;17;36;26;nan;nan
Calle 1818;17;36;18;36;26;nan;nan
Calle 1819;18;36;19;36;26;nan;nan
Calle 1820;19;36;20;36;26;nan;nan
Calle 1821;20;36;21;36;26;nan;nan
Calle 1822;21;36;22;36;26;nan;nan
Calle 1823;22;36;23;36;26;nan;nan
Calle 1824;23;36;24;36;26;nan;nan
Calle 1825;24;36;25;36;26;nan;nan
Calle 1826;25;36;26;36;26;nan;nan
Calle 1827;26;36;27;36;26;nan;nan
Calle 1828;27;36;28;36;26;nan;nan
Calle 1829;28;36;29;36;26;nan;nan
Calle 1830;29;36;30;36;26;nan;nan
Calle 1831;30;36;31;36;26;nan;nan
Calle 1832;31;36;32;36;26;nan;nan
Calle 1833;32;36;33;36;26;nan;nan
Calle 1834;33;36;34;36;26;nan;nan
Calle 1835;34;36;35;36;26;nan;nan
Calle 1836;35;36;36;36;26;nan;nan
Calle 1837;36;36;37;36;26;nan;nan
Calle 1838;37;36;38;36;26;nan;nan
Calle 1839;38;36;39;36;26;nan;nan
Calle 1840;39;36;40;36;26;nan;nan
Calle 1841;40;36;41;36;26;nan;nan
Calle 1842;41;36;42;36;26;nan;nan
Calle 1843;42;36;43;36;26;nan;nan
Calle 1844;43;36;44;36;26;nan;nan
Calle 1845;44;36;45;36;26;nan;nan
Calle 1846;45;36;46;36;26;nan;nan
Calle 1847;46;36;47;36;26;nan;nan
Calle 1848;47;36;48;36;26;nan;nan
Calle 1849;48;36;49;36;26;nan;nan
Calle 1850;49;36;50;36;26;nan;nan
Calle 1851;0;37;1;37;26;nan;nan
Calle 1852;1;37;2;37;26;nan;nan
Calle 1853;2;37;3;37;26;nan;nan
Calle 1854;3;37;4;37;26;nan;nan
Calle 1855;4;37;5;37;26;nan;nan
Calle 1856;5;37;6;37;26;nan;nan
Calle 1857;6;37;7;37;26;nan;nan
Calle 1858;7;37;8;37;26;nan;nan
Calle 1859;8;37;9;37;26;nan;nan
Calle 1860;9;37;10;37;26;nan;nan
Calle 1861;10;37;11;37;26;nan;nan
Calle 1862;11;37;12;37;26;nan;nan
Calle 1863;12;37;13;37;26;nan;nan
Calle 1864;13;37;14;37;26;nan;nan
Calle 1865;14;37;15;37;26;nan;nan
Calle 1866;15;37;16;37;26;nan;nan
Calle 1867;16;37;17;37;26;nan;nan
Calle 1868;17;37;18;37;26;nan;nan
Calle 1869;18;37;19;37;26;nan;nan
Calle 1870;19;37;20;37;26;nan;nan
Calle 1871;20;37;21;37;26;nan;nan
Calle 1872;21;37;22;37;26;nan;nan
Calle 1873;22;37;23;37;26;nan;nan
Calle 1874;23;37;24;37;26;nan;nan
Calle 1875;24;37;25;37;26;nan;nan
Calle 1876;25;37;26;37;26;nan;nan
Calle 1877;26;37;27;37;26;nan;nan
Calle 1878;27;37;28;37;26;nan;nan
Calle 1879;28;37;29;37;26;nan;nan
Calle 1880;29;37;30;37;26;nan;nan
Calle 1881;30;37;31;37;26;nan;nan
Calle 1882;31;37;32;37;26;nan;nan
Calle 1883;32;37;33;37;26;nan;nan
Calle 1884;33;37;34;37;26;nan;nan
Calle 1885;34;37;35;37;26;nan;nan
Calle 1886;35;37;36;37;26;nan;nan
Calle 1887;36;37;37;37;26;nan;nan
Calle 1888;37;37;38;37;26;nan;nan
Calle 1889;38;37;39;37;26;nan;nan
Calle 1890;39;37;40;37;26;nan;nan
Calle 1891;40;37;41;37;26;nan;nan
Calle 1892;41;37;42;37;26;nan;nan
Calle 1893;42;37;43;37;26;nan;nan
Calle 1894;43;37;44;37;26;nan;nan
Calle 1895;44;37;45;37;26;nan;nan
Calle 1896;45;37;46;37;26;nan;nan
Calle 1897;46;37;47;37;26;nan;nan
Calle 1898;47;37;48;37;26;nan;nan
Calle 1899;48;37;49;37;26;nan;nan
Calle 1900;49;37;50;37;26;nan;nan
Calle 1901;0;38;1;38;26;nan;nan
Calle 1902;1;38;2;38;26;nan;nan
Calle 1903;2;38;3;38;26;nan;nan
Calle 1904;3;38;4;38;26;nan;nan
Calle 1905;4;38;5;38;26;nan;nan
Calle 1906;5;38;6;38;26;nan;nan
Calle 1907;6;38;7;38;26;nan;nan
Calle 1908;7;38;8;38;26;nan;nan
Calle 1909;8;38;9;38;26;nan;nan
Calle 1910;9;38;10;38;26;nan;nan
Calle 1911;10;38;11;38;26;nan;nan
Calle 1912;11;38;12;38;26;nan;nan
Calle 1913;12;38;13;38;26;nan;nan
Calle 1914;13;38;14;38;26;nan;nan
Calle 1915;14;38;15;38;26;nan;nan
Calle 1916;15;38;16;38;26;nan;nan
Calle 1917;16;38;17;38;26;nan;nan
Calle 1918;17;38;18;38;26;nan;nan
Calle 1919;18;38;19;38;26;nan;nan
Calle 1920;19;38;20;38;26;nan;nan
Calle 1921;20;38;21;38;26;nan;nan
Calle 1922;21;38;22;38;26;nan;nan
Calle 1923;22;38;23;38;26;nan;nan
Calle 1924;23;38;24;38;26;nan;nan
Calle 1925;24;38;25;38;26;nan;nan
Calle 1926;25;38;26;38;26;nan;nan
Calle 1927;26;38;27;38;26;nan;nan
Calle 1928;27;38;28;38;26;nan;nan
Calle 1929;28;38;29;38;26;nan;nan
Calle 1930;29;38;30;38;26;nan;nan
Calle 1931;30;38;31;38;26;nan;nan
Calle 1932;31;38;32;38;26;nan;nan
Calle 1933;32;38;33;38;26;nan;nan
Calle 1934;33;38;34;38;26;nan;nan
Calle 1935;34;38;35;38;26;nan;nan
Calle 1936;35;38;36;38;26;nan;nan
Calle 1937;36;38;37;38;26;nan;nan
Calle 1938;37;38;38;38;26;nan;nan
Calle 1939;38;38;39;38;26;nan;nan
Calle 1940;39;38;40;38;26;nan;nan
Calle 1941;40;38;41;38;26;nan;nan
Calle 1942;41;38;42;38;26;nan;nan
Calle 1943;42;38;43;38;26;nan;nan
Calle 1944;43;38;44;38;26;nan;nan
Calle 1945;44;38;45;38;26;nan;nan
Calle 1946;45;38;46;38;26;nan;nan
Calle 1947;46;38;47;38;26;nan;nan
Calle 1948;47;38;48;38;26;nan;nan
Calle 1949;48;38;49;38;26;nan;nan
Calle 1950;49;38;50;38;26;nan;nan
Calle 1951;0;39;1;39;26;nan;nan
Calle 1952;1;39;2;39;26;nan;nan
Calle 1953;2;39;3;39;26;nan;nan
Calle 1954;3;39;4;39;26;nan;nan
Calle 1955;4;39;5;39;26;nan;nan
Calle 1956;5;39;6;39;26;nan;nan
Calle 1957;6;39;7;39;26;nan;nan
Calle 1958;7;39;8;39;26;nan;nan
Calle 1959;8;39;9;39;26;nan;nan
Calle 1960;9;39;10;39;26;nan;nan
Calle 1961;10;39;11;39;26;nan;nan
Calle 1962;11;39;12;39;26;nan;nan
Calle 1963;12;39;13;39;26;nan;nan
Calle 1964;13;39;14;39;26;nan;nan
Calle 1965;14;39;15;39;26;nan;nan
Calle 1966;15;39;16;39;26;nan;nan
Calle 1967;16;39;17;39;26;nan;nan
Calle 1968;17;39;18;39;26;nan;nan
Calle 1969;18;39;19;39;26;nan;nan
Calle 1970;19;39;20;39;26;nan;nan
Calle 1971;20;39;21;39;26;nan;nan
Calle 1972;21;39;22;39;26;nan;nan
Calle 1973;22;39;23;39;26;nan;nan
Calle 1974;23;39;24;39;26;nan;nan
Calle 1975;24;39;25;39;26;nan;nan
Calle 1976;25;39;26;39;26;nan;nan
Calle 1977;26;39;27;39;26;nan;nan
Calle 1978;27;39;28;39;26;nan;nan
Calle 1979;28;39;29;39;26;nan;nan
Calle 1980;29;39;30;39;26;nan;nan
Calle 1981;30;39;31;39;26;nan;nan
Calle 1982;31;39;32;39;26;nan;nan
Calle 1983;32;39;33;39;26;nan;nan
Calle 1984;33;39;34;39;26;nan;nan
Calle 1985;34;39;35;39;26;nan;nan
Calle 1986;35;39;36;39;26;nan;nan
Calle 1987;36;39;37;39;26;nan;nan
Calle 1988;37;39;38;39;26;nan;nan
Calle 1989;38;39;39;39;26;nan;nan
Calle 1990;39;39;40;39;26;nan;nan
Calle 1991;40;39;41;39;26;nan;nan
Calle 1992;41;39;42;39;26;nan;nan
Calle 1993;42;39;43;39;26;nan;nan
Calle 1994;43;39;44;39;26;nan;nan
Calle 1995;44;39;45;39;26;nan;nan
Calle 1996;45;39;46;39;26;nan;nan
Calle 1997;46;39;47;39;26;nan;nan
Calle 1998;47;39;48;39;26;nan;nan
Calle 1999;48;39;49;39;26;nan;nan
Calle 2000;49;39;50;39;26;nan;nan
Calle 2001;0;40;1;40;26;nan;nan
Calle 2002;1;40;2;40;26;nan;nan
Calle 2003;2;40;3;40;26;nan;nan
Calle 2004;3;40;4;40;26;nan;nan
Calle 2005;4;40;5;40;26;nan;nan
Calle 2006;5;40;6;40;26;nan;nan
Calle 2007;6;40;7;40;26;nan;nan
Calle 2008;7;40;8;40;26;nan;nan
Calle 2009;8;40;9;40;26;nan;nan
Calle 2010;9;40;10;40;26;nan;nan
Calle 2011;10;40;11;40;26;nan;nan
Calle 2012;11;40;12;40;26;nan;nan
Calle 2013;12;40;13;40;26;nan;nan
Calle 2014;13;40;14;40;26;nan;nan
Calle 2015;14;40;15;40;26;nan;nan
Calle 2016;15;40;16;40;26;nan;nan
Calle 2017;16;40;17;40;26;nan;nan
Calle 2018;17;40;18;40;26;nan;nan
Calle 2019;18;40;19;40;26;nan;nan
Calle 2020;19;40;20;40;26;nan;nan
Calle 2021;20;40;21;40;26;nan;nan
Calle 2022;21;40;22;40;26;nan;nan
Calle 2023;22;40;23;40;26;nan;nan
Calle 2024;23;40;24;40;26;nan;nan
Calle 2025;24;40;25;40;26;nan;nan
Calle 2026;25;40;26;40;26;nan;nan
Calle 2027;26;40;27;40;26;nan;nan
Calle 2028;27;40;28;40;26;nan;nan
Calle 2029;28;40;29;40;26;nan;nan
Calle 2030;29;40;30;40;26;nan;nan
Calle 2031;30;40;31;40;26;nan;nan
Calle 2032;31;40;32;40;26;nan;nan
Calle 2033;32;40;33;40;26;nan;nan
Calle 2034;33;40;34;40;26;nan;nan
